2026-01-13 20:37:08.188 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 20:37:08.188 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-13 20:39:47.867 | INFO     | __main__:stop_forum_engine:350 - ForumEngine: 停止论坛...
2026-01-13 20:39:47.977 | INFO     | ForumEngine.monitor:monitor_logs:702 - ForumEngine: 停止论坛日志文件
2026-01-13 20:39:47.978 | INFO     | ForumEngine.monitor:stop_monitoring:740 - ForumEngine: 论坛已停止
2026-01-13 20:39:47.978 | INFO     | __main__:stop_forum_engine:352 - ForumEngine: 论坛已停止
2026-01-13 20:42:06.435 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 20:42:06.435 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 20:42:06.435 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 20:42:06.435 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-13 20:44:27.140 | INFO     | __main__:stop_forum_engine:350 - ForumEngine: 停止论坛...
2026-01-13 20:44:27.323 | INFO     | ForumEngine.monitor:monitor_logs:702 - ForumEngine: 停止论坛日志文件
2026-01-13 20:45:28.362 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 20:45:28.362 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 20:45:28.362 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
